QF-1_numerical,QF-2_structural,QF-3_progress_tracking,QF-4_dependency,QF-5_problem_quantification,agent_id,condition,run_number,total_qf
0,3,3,1,0,Seshat,N,0,7
0,7,0,3,0,Seshat,N,0,10
0,5,0,1,0,Seshat,N,0,6
0,7,4,2,0,Seshat,N,0,13
2,2,0,3,0,Seshat,N,0,7
0,4,4,3,0,Seshat,I,0,11
5,7,0,1,0,Seshat,I,0,13
0,5,0,2,0,Seshat,I,0,7
0,6,3,0,0,Seshat,I,0,9
0,6,0,1,0,Seshat,I,0,7
0,5,5,2,0,Seshat,B,0,12
0,9,0,1,0,Seshat,B,0,10
0,7,1,1,0,Seshat,B,0,9
1,7,2,1,0,Seshat,B,0,11
3,5,0,2,0,Seshat,B,0,10
0,6,4,2,0,Seshat,P,0,12
3,5,0,0,0,Seshat,P,0,8
0,6,1,0,0,Seshat,P,0,7
0,6,4,2,0,Seshat,P,0,12
3,6,0,1,0,Seshat,P,0,10
0,8,4,2,0,Seshat,S,0,14
3,6,0,2,0,Seshat,S,0,11
0,6,0,1,0,Seshat,S,0,7
0,6,3,2,0,Seshat,S,0,11
0,2,0,1,0,Seshat,S,0,3
0,3,6,1,0,Seshat,P,1,10
1,4,0,1,0,Seshat,P,1,6
0,9,2,3,0,Seshat,P,1,14
0,5,4,3,0,Seshat,P,1,12
0,11,0,1,0,Seshat,P,1,12
0,12,1,0,0,Seshat,P,1,13
0,7,3,4,0,Seshat,P,1,14
2,10,0,0,0,Seshat,P,1,12
0,4,0,2,0,Seshat,P,1,6
0,6,5,4,0,Seshat,P,1,15
0,6,3,4,0,Seshat,N,1,13
1,5,0,3,0,Seshat,N,1,9
0,2,2,1,0,Seshat,N,1,5
1,5,3,2,0,Seshat,N,1,11
1,7,0,0,0,Seshat,N,1,8
0,8,1,1,0,Seshat,N,1,10
0,6,3,2,0,Seshat,N,1,11
0,12,0,3,0,Seshat,N,1,15
0,7,1,1,0,Seshat,N,1,9
0,6,3,1,0,Seshat,N,1,10
0,7,3,2,0,Seshat,I,1,12
1,7,0,1,0,Seshat,I,1,9
0,10,0,1,0,Seshat,I,1,11
0,7,2,2,0,Seshat,I,1,11
3,6,0,0,0,Seshat,I,1,9
0,9,1,3,0,Seshat,I,1,13
0,6,3,2,0,Seshat,I,1,11
0,9,0,4,0,Seshat,I,1,13
0,6,1,1,0,Seshat,I,1,8
0,7,4,2,0,Seshat,I,1,13
0,6,3,0,0,Seshat,B,6,9
5,9,0,0,0,Seshat,B,6,14
0,7,0,1,0,Seshat,B,6,8
0,8,5,1,0,Seshat,B,6,14
1,6,0,3,0,Seshat,B,6,10
0,7,0,1,0,Seshat,B,6,8
0,8,3,2,0,Seshat,B,6,13
0,5,1,1,0,Seshat,B,6,7
0,8,2,4,0,Seshat,B,6,14
0,5,3,2,0,Seshat,B,6,10
0,8,4,2,0,Seshat,S,6,14
1,7,0,0,0,Seshat,S,6,8
0,4,0,1,0,Seshat,S,6,5
0,6,3,3,0,Seshat,S,6,12
1,6,0,1,0,Seshat,S,6,8
0,9,0,1,0,Seshat,S,6,10
0,7,4,1,0,Seshat,S,6,12
0,3,0,1,0,Seshat,S,6,4
0,7,0,1,0,Seshat,S,6,8
0,3,4,0,0,Seshat,S,6,7
3,8,4,0,0,Seshat,I,6,15
0,10,0,1,0,Seshat,I,6,11
0,10,0,3,0,Seshat,I,6,13
0,6,4,0,0,Seshat,I,6,10
0,6,3,1,0,Seshat,B,1,10
0,5,0,0,0,Seshat,B,1,5
0,6,0,1,0,Seshat,B,1,7
0,7,2,3,0,Seshat,B,1,12
1,7,0,0,0,Seshat,B,1,8
0,8,0,2,0,Seshat,B,1,10
0,6,5,0,0,Seshat,B,1,11
1,5,1,1,0,Seshat,B,1,8
0,7,1,1,0,Seshat,B,1,9
0,3,3,1,0,Seshat,B,1,7
0,3,5,2,0,Seshat,S,1,10
2,8,0,0,0,Seshat,S,1,10
0,7,1,1,0,Seshat,S,1,9
0,6,3,3,0,Seshat,S,1,12
0,4,0,1,0,Seshat,S,1,5
0,4,0,1,0,Seshat,S,1,5
0,3,6,3,0,Seshat,S,1,12
1,7,0,1,0,Seshat,S,1,9
1,12,0,0,0,Seshat,S,1,13
2,2,3,1,0,Seshat,S,1,8
0,9,3,2,0,Seshat,N,6,14
0,8,0,6,0,Seshat,N,6,14
