agent_id,condition,run_number,session_number,story_points,has_task_breakdown,quant_estimates,section_headers,response_length,explicit_blocking,progress_tracking,team_coordination,dependency_mention,time_planning
Anubis,N,0,1,0,False,0,2,768,False,True,True,False,True
Anubis,N,0,1,0,True,0,0,735,False,False,False,False,False
Anubis,N,0,1,0,True,0,0,793,False,True,False,False,True
Anubis,N,0,1,0,True,0,2,735,False,True,False,False,True
Anubis,N,0,1,0,True,0,0,675,False,False,True,False,False
Anubis,I,0,2,0,False,0,2,774,False,True,False,False,True
Anubis,I,0,2,0,True,0,0,766,False,False,True,False,False
Anubis,I,0,2,0,True,0,0,766,False,False,False,False,True
Anubis,I,0,2,0,False,0,2,753,False,True,False,False,True
Anubis,I,0,2,0,True,0,0,754,False,False,True,False,False
Anubis,B,0,3,0,False,0,2,750,False,False,True,False,True
Anubis,B,0,3,1,True,0,0,700,False,False,False,False,False
Anubis,B,0,3,0,True,0,0,786,False,False,False,False,True
Anubis,B,0,3,0,True,0,2,722,False,True,True,False,True
Anubis,B,0,3,0,True,0,0,743,False,False,True,False,False
Anubis,P,0,4,0,False,0,2,764,False,False,False,False,True
Anubis,P,0,4,0,True,0,0,765,False,False,True,False,False
Anubis,P,0,4,0,False,0,0,782,False,False,True,False,True
Anubis,P,0,4,0,True,0,2,786,False,False,True,False,True
Anubis,P,0,4,0,True,0,0,779,False,False,False,False,False
Anubis,S,0,5,0,False,0,2,852,False,True,True,False,True
Anubis,S,0,5,0,True,0,0,777,False,False,True,False,False
Anubis,S,0,5,0,True,0,0,777,False,False,False,False,True
Anubis,S,0,5,0,False,0,0,828,False,True,False,False,True
Anubis,S,0,5,0,True,0,0,743,False,False,False,False,False
Anubis,S,3,1,0,False,0,0,750,False,True,False,False,True
Anubis,S,3,1,0,True,0,0,717,False,False,False,False,False
Anubis,S,3,1,0,True,0,1,797,False,True,False,False,True
Anubis,S,3,1,0,False,0,2,748,False,True,True,False,True
Anubis,S,3,1,0,True,0,0,790,False,False,True,False,False
Anubis,S,3,1,0,True,0,0,793,False,False,False,False,True
Anubis,S,3,1,0,True,0,2,761,False,True,True,False,True
Anubis,S,3,1,0,True,0,0,677,False,False,True,False,False
Anubis,S,3,1,0,False,0,0,794,False,False,False,False,True
Anubis,S,3,1,0,False,0,2,824,False,True,True,False,True
Anubis,I,3,1,0,False,0,2,832,False,True,False,False,True
Anubis,I,3,1,0,True,0,0,780,False,False,True,False,False
Anubis,I,3,1,0,False,0,0,740,False,False,False,False,True
Anubis,I,3,1,0,True,0,2,712,False,True,False,False,True
Anubis,I,3,1,0,True,0,0,705,False,False,True,False,False
Anubis,I,3,1,0,False,0,0,766,False,False,False,False,True
Anubis,I,3,1,0,False,0,3,768,False,True,True,False,True
Anubis,I,3,1,0,False,0,0,129,False,False,False,False,False
Anubis,I,3,1,0,True,0,2,721,False,False,False,False,False
Anubis,I,3,1,0,False,0,0,766,False,False,False,False,True
Anubis,N,3,1,0,False,0,0,766,False,False,False,False,True
Anubis,N,3,1,0,False,0,2,662,False,True,False,False,False
Anubis,N,3,1,0,True,0,1,747,False,False,False,False,True
Anubis,N,3,1,0,True,0,2,727,False,True,False,False,True
Anubis,N,3,1,2,True,0,0,731,False,False,False,False,False
Anubis,N,3,1,0,True,0,1,759,False,True,False,False,False
Anubis,N,3,1,0,False,0,2,781,False,False,True,False,True
Anubis,N,3,1,0,True,0,0,733,False,False,True,False,False
Anubis,N,3,1,0,False,0,0,729,False,False,False,False,True
Anubis,N,3,1,0,True,0,2,753,False,True,False,False,True
Anubis,B,3,1,0,True,0,2,757,False,True,True,False,True
Anubis,B,3,1,0,True,0,0,704,False,False,False,False,False
Anubis,B,3,1,0,True,0,0,815,False,False,False,False,False
Anubis,B,3,1,0,False,0,2,788,False,False,False,False,True
Anubis,B,3,1,1,True,0,0,675,False,True,True,False,False
Anubis,B,3,1,0,False,0,0,760,False,False,False,False,True
Anubis,B,3,1,0,False,0,2,730,False,True,False,False,True
Anubis,B,3,1,0,True,0,0,748,False,False,False,False,False
Anubis,B,3,1,0,False,0,0,767,False,False,False,False,False
Anubis,B,3,1,0,False,0,2,774,False,True,False,False,True
Anubis,P,3,1,0,False,0,3,742,True,True,True,False,True
Anubis,P,3,1,0,True,0,0,689,False,False,True,False,False
Anubis,P,3,1,0,False,0,3,773,False,False,False,False,True
Anubis,P,3,1,0,False,0,2,813,False,True,True,False,True
Anubis,P,3,1,0,True,0,0,684,False,False,False,False,False
Anubis,P,3,1,0,True,0,1,794,False,True,False,False,True
Anubis,P,3,1,0,True,0,2,748,False,True,True,False,True
Anubis,P,3,1,0,True,0,0,745,False,False,False,False,False
Anubis,P,3,1,0,False,0,0,752,False,False,False,False,True
Anubis,P,3,1,0,True,0,0,746,False,True,False,False,True
Anubis,I,3,1,0,True,0,2,743,False,True,False,False,True
Anubis,I,3,1,0,True,0,0,749,False,False,True,False,False
Anubis,I,3,1,0,True,0,1,787,False,True,False,False,False
Anubis,I,3,1,0,True,0,2,777,False,True,True,False,True
Anubis,I,3,1,0,False,0,3,719,False,False,False,False,False
Anubis,I,3,1,0,False,0,0,727,False,False,True,False,False
Anubis,I,3,1,0,True,0,0,696,False,False,True,False,True
Anubis,I,3,1,0,True,0,0,768,False,False,False,False,False
Anubis,I,3,1,0,False,0,0,738,False,False,False,False,False
Anubis,I,3,1,0,False,0,2,774,False,True,False,False,True
Anubis,I,8,1,0,False,0,2,798,False,False,False,False,True
Anubis,I,8,1,1,False,0,0,666,False,False,False,False,False
Anubis,I,8,1,0,False,0,0,742,False,False,False,False,True
Anubis,I,8,1,0,False,0,2,709,False,True,False,False,True
Anubis,I,8,1,0,True,0,0,723,False,False,True,False,False
Anubis,I,8,1,0,False,0,0,710,False,True,False,False,False
Anubis,I,8,1,0,False,0,2,778,False,False,False,False,True
Anubis,I,8,1,0,False,0,1,744,False,False,False,False,False
Anubis,I,8,1,0,False,0,0,742,False,True,False,False,False
Anubis,I,8,1,0,False,0,2,779,False,True,False,False,True
Anubis,N,8,1,0,True,0,2,748,False,True,True,False,True
Anubis,N,8,1,0,True,0,0,704,False,False,True,False,False
Anubis,N,8,1,0,True,0,1,769,False,True,False,False,False
Anubis,N,8,1,0,False,0,3,786,True,True,False,False,True
Anubis,N,8,1,0,False,0,0,537,False,False,False,False,False
Anubis,N,8,1,0,True,0,0,791,False,False,False,False,True
Anubis,N,8,1,0,False,0,3,788,False,True,False,False,True
Anubis,N,8,1,1,True,0,0,749,False,False,False,False,False
